epoch,loss,psnr,val_loss,val_psnr
0,1952.1512451171875,16.955535888671875,352.4399108886719,22.6795654296875
1,613.50927734375,21.098722457885742,265.2316589355469,23.996362686157227
2,502.5301818847656,21.983064651489258,176.7678985595703,25.758543014526367
3,348.95263671875,23.564973831176758,173.7793426513672,25.77398681640625
4,313.9763488769531,24.01642608642578,112.73309326171875,27.695261001586914
5,290.74871826171875,24.525226593017578,105.14408111572266,27.9898624420166
